<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140322,000000,1340.3,1343,1333.3,1334.5,67100
20140324,000000,1333.8,1335.7,1322,1324.6,35543
20140325,000000,1324.4,1326.9,1308.5,1316.8,137733
20140326,000000,1316.8,1317.6,1306,1315,107264
20140327,000000,1314.9,1317.1,1295.5,1297.4,129927
20140328,000000,1297.4,1300.8,1289.6,1295.9,73927
20140329,000000,1296,1297.7,1285.9,1294.4,11014
20140331,000000,1294.8,1298.8,1291,1293.2,654
20140401,000000,1292.2,1296.2,1277.4,1287.6,36938
20140402,000000,1287.5,1288.4,1278,1283.2,90460
20140403,000000,1283.3,1294.9,1282.9,1287.4,114656
20140404,000000,1287.4,1293.3,1281.9,1291.5,85110
20140405,000000,1291.6,1307.5,1286.8,1302.3,105421
20140407,000000,1304,1304.4,1298.2,1299,18653
20140408,000000,1298.9,1313.5,1295.8,1312,96456
20140409,000000,1311.9,1314.7,1307.1,1310.1,95184
20140410,000000,1310,1323.7,1301.1,1322.3,128004
20140411,000000,1322.3,1324.9,1314,1315.3,98763
20140412,000000,1315.4,1324.2,1315.2,1318.4,56554
20140414,000000,1321.2,1330.8,1319.4,1324.9,30486
20140415,000000,1324.8,1331.4,1307.5,1311.5,108466
20140416,000000,1311.5,1312.3,1284.4,1303.2,171851
20140417,000000,1303.2,1307.1,1296.6,1298.3,86474
20140418,000000,1298.2,1304.4,1292.8,1294.6,61528
20140421,000000,1294.9,1302.5,1281.8,1288.2,46809
20140422,000000,1288.3,1293.9,1282.7,1290.6,74770
20140423,000000,1290.6,1293.1,1275.8,1284.4,102919
20140424,000000,1284.4,1289.1,1280.8,1283.6,89730
20140425,000000,1283.5,1299,1268.4,1293.7,166140
20140426,000000,1293.7,1305.2,1292,1303.6,78793
20140428,000000,1303.1,1306.6,1301.6,1303.4,20663
20140429,000000,1303.3,1303.9,1286.1,1287.8,95342
20140430,000000,1287.8,1302,1287.4,1291.4,89270
20140501,000000,1291.3,1298.4,1281.8,1282.9,125370
20140502,000000,1282.8,1289.5,1277.3,1284.2,93348
20140503,000000,1284.2,1304.9,1272.1,1300.4,137460
20140506,000000,1312.5,1315.8,1308,1310.9,81279
20140507,000000,1311,1315,1304.4,1312.9,89037
20140508,000000,1313,1313.4,1286.6,1291.4,135200
20140509,000000,1291.5,1295.5,1284.8,1289.6,90785
20140510,000000,1289.7,1294.5,1285.5,1289.9,59521
20140512,000000,1289.9,1293,1277.7,1291.1,29127
20140513,000000,1291.2,1304.5,1290.2,1294.1,110600
20140514,000000,1294.1,1302.5,1289.1,1301.8,96064
20140515,000000,1301.7,1309.2,1300.1,1303.5,102738
20140516,000000,1303.5,1307,1290.9,1293.1,129649
20140517,000000,1293.3,1296.7,1287.7,1292.8,59345
20140519,000000,1292.7,1301.7,1289.5,1299.9,25777
20140520,000000,1299.8,1305.7,1287.8,1291.1,100704
20140521,000000,1291.1,1297.2,1286,1294.2,93497
20140522,000000,1294.1,1297,1282.9,1294.5,115299
20140523,000000,1294.4,1304.1,1291.2,1292.5,101006
20140524,000000,1292.6,1294.8,1286.6,1293,54869
20140526,000000,1293.9,1294.8,1290.9,1291.9,10543
20140527,000000,1291.9,1294.1,1281.8,1283.2,45934
20140528,000000,1283.1,1285.1,1260.8,1264.3,156273
20140529,000000,1264.4,1267.3,1250.9,1252.8,70216
20140530,000000,1252.5,1260.6,1251.7,1254.8,32955
20140531,000000,1254.7,1256.7,1242.2,1251.4,100262
20140602,000000,1250.4,1251,1241.1,1243.8,26137
20140603,000000,1243.7,1251,1241.7,1246.6,81276
